"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","189","168","8",".",".",".","122","79","50",".","11","77","277","."
"06003","Alpine County, CA","32","23","2",".","5","2",".","246","175","32",".",".",".","32","."
"06005","Amador County, CA","365","301","62","2",".",".",".","108","61","38",".",".","365",".","."
"06007","Butte County, CA","365","147","209","8","1",".",".","169","90","54",".",".","220","145","."
"06009","Calaveras County, CA","364","248","114","2",".",".",".","119","64","45",".",".","223","141","."
"06011","Colusa County, CA","364","250","112","2",".",".",".","126","63","41",".",".","135","223","6"
"06013","Contra Costa County, CA","365","210","152","3",".",".",".","115","69","46",".","3","117","245","."
"06015","Del Norte County, CA","126","123","3",".",".",".",".","72","23","13",".",".",".","93","33"
"06017","El Dorado County, CA","365","222","120","23",".",".",".","147","90","45",".",".","362","3","."
"06019","Fresno County, CA","365","53","173","114","25",".",".","197","147","87",".","1","213","145","6"
"06021","Glenn County, CA","361","244","116","1",".",".",".","101","64","44",".",".","203","158","."
"06023","Humboldt County, CA","365","299","65","1",".",".",".","108","58","35","1","1","137","225","1"
"06025","Imperial County, CA","365","151","175","35","3","1",".","207","101","56","2","30","189","43","101"
"06027","Inyo County, CA","365","231","113","10","7","2","2","425","86","46",".",".","283","28","54"
"06029","Kern County, CA","365","35","194","104","31","1",".","218","148","89",".",".","174","188","3"
"06031","Kings County, CA","365","76","194","80","15",".",".","189","130","77",".",".","195","125","45"
"06033","Lake County, CA","364","355","9",".",".",".",".","80","44","33",".",".","362","2","."
"06037","Los Angeles County, CA","365","22","243","75","25",".",".","197","140","77",".","20","175","167","3"
"06039","Madera County, CA","365","66","225","64","10",".",".","190","119","71",".",".","189","169","7"
"06041","Marin County, CA","365","254","109","2",".",".",".","124","61","40","1","4","67","293","."
"06043","Mariposa County, CA","365","177","166","21",".","1",".","230","90","51",".",".","281","81","3"
"06045","Mendocino County, CA","331","275","56",".",".",".",".","79","59","28",".",".","50","118","163"
"06047","Merced County, CA","364","139","177","43","5",".",".","164","112","58",".","1","193","167","3"
"06051","Mono County, CA","365","311","43","6","1",".","4","3180","58","19",".",".",".","16","349"
"06053","Monterey County, CA","365","319","46",".",".",".",".","96","52","38",".","4","206","123","32"
"06055","Napa County, CA","365","218","144","3",".",".",".","119","70","44",".","4","123","238","."
"06057","Nevada County, CA","362","207","134","21",".",".",".","140","91","47.5",".",".","336","26","."
"06059","Orange County, CA","365","142","211","12",".",".",".","143","73","53",".","24","100","238","3"
"06061","Placer County, CA","365","182","166","13","4",".",".","161","84","51",".","5","210","150","."
"06063","Plumas County, CA","119","65","39","13","2",".",".","162","113","42",".",".",".","119","."
"06065","Riverside County, CA","365","34","195","98","36",".","2","455","151","87",".",".","190","122","53"
"06067","Sacramento County, CA","365","162","169","32","2",".",".","154","100","54",".","3","214","142","6"
"06069","San Benito County, CA","365","294","66","5",".",".",".","112","61","43",".",".","317","44","4"
"06071","San Bernardino County, CA","365","66","164","83","49","3",".","218","159","84",".","27","227","98","13"
"06073","San Diego County, CA","365","56","272","35","1",".","1","617","101","66","9","20","148","160","28"
"06075","San Francisco County, CA","365","254","109","2",".",".",".","133","65","38",".","49","86","230","."
"06077","San Joaquin County, CA","365","122","210","24","9",".",".","157","99","57",".",".","80","269","16"
"06079","San Luis Obispo County, CA","365","104","247","14",".",".",".","136","90","59",".",".","173","162","30"
"06081","San Mateo County, CA","365","259","102","4",".",".",".","115","67","38",".","20","111","234","."
"06083","Santa Barbara County, CA","365","240","122","3",".",".",".","122","64","46",".","1","249","111","4"
"06085","Santa Clara County, CA","365","206","151","7","1",".",".","152","80","48",".","2","151","212","."
"06087","Santa Cruz County, CA","365","280","63","22",".",".",".","149","83","38",".",".","237","128","."
"06089","Shasta County, CA","365","297","66","2",".",".",".","105","64","42",".",".","350","13","2"
"06093","Siskiyou County, CA","361","326","31","4",".",".",".","121","50","37",".",".","338","22","1"
"06095","Solano County, CA","365","230","124","11",".",".",".","132","73","44",".","3","172","190","."
"06097","Sonoma County, CA","365","291","74",".",".",".",".","85","61","36",".","1","213","149","2"
"06099","Stanislaus County, CA","365","142","158","54","11",".",".","165","118","61",".","1","216","147","1"
"06101","Sutter County, CA","365","205","151","9",".",".",".","126","84","48",".","4","232","128","1"
"06103","Tehama County, CA","365","254","100","11",".",".",".","136","74","43",".",".","297","67","1"
"06105","Trinity County, CA","218","150","52","16",".",".",".","143","97","27",".",".",".","201","17"
"06107","Tulare County, CA","365","61","166","111","26","1",".","201","143","84",".",".","217","148","."
"06109","Tuolumne County, CA","364","284","78","2",".",".",".","119","64","42.5",".",".","364",".","."
"06111","Ventura County, CA","365","182","172","10","1",".",".","159","77","51",".","4","226","129","6"
"06113","Yolo County, CA","365","282","83",".",".",".",".","91","61","41",".","3","275","84","3"
