"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","175","173","5","10","2",".","223","76","51",".","8","68","289","."
"06005","Amador County, CA","364","288","70","6",".",".",".","129","71","40",".",".","364",".","."
"06007","Butte County, CA","365","152","173","22","11","3","4","445","104","54",".",".","199","165","1"
"06009","Calaveras County, CA","364","148","196","14","6",".",".","157","87","53",".",".","132","232","."
"06011","Colusa County, CA","365","245","92","10","17","1",".","274","81","42",".",".","171","161","33"
"06013","Contra Costa County, CA","365","203","144","7","9","2",".","245","71","48",".","1","101","263","."
"06015","Del Norte County, CA","180","162","18",".",".",".",".","77","51","25",".",".",".","180","."
"06017","El Dorado County, CA","365","222","106","27","9","1",".","203","101","45",".",".","352","3","10"
"06019","Fresno County, CA","365","84","183","79","19",".",".","185","133","74",".","2","231","123","9"
"06021","Glenn County, CA","363","275","72","9","6","1",".","230","69","36",".",".","151","145","67"
"06023","Humboldt County, CA","365","324","35","5","1",".",".","163","53","34",".","2","247","96","20"
"06025","Imperial County, CA","365","95","220","41","7","2",".","286","108","62",".","6","129","106","124"
"06027","Inyo County, CA","365","198","130","26","8","2","1","624","101","48",".",".","308","23","34"
"06029","Kern County, CA","365","65","170","103","27",".",".","190","142","84",".",".","245","107","13"
"06031","Kings County, CA","365","89","218","49","9",".",".","180","114","69",".",".","183","126","56"
"06033","Lake County, CA","357","347","7","1","1","1",".","208","43","33",".",".","344","11","2"
"06037","Los Angeles County, CA","365","35","222","89","18","1",".","201","130","77",".","30","173","161","1"
"06039","Madera County, CA","365","152","178","30","5",".",".","165","100","56",".",".","209","122","34"
"06041","Marin County, CA","365","294","58","3","9","1",".","218","58","36",".","18","130","217","."
"06043","Mariposa County, CA","365","189","136","10","21","8","1","301","108","50",".",".","264","101","."
"06045","Mendocino County, CA","364","289","54","13","6","1","1","314","64","37",".",".","141","219","4"
"06047","Merced County, CA","365","173","151","32","9",".",".","171","101","51",".","1","188","175","1"
"06051","Mono County, CA","365","279","57","14","11","2","2","994","84","23",".",".",".","224","141"
"06053","Monterey County, CA","365","319","39","5","2",".",".","155","52","38",".",".","204","97","64"
"06055","Napa County, CA","364","273","79","4","8",".",".","183","61","39","1","1","155","206","1"
"06057","Nevada County, CA","363","245","90","19","9",".",".","196","87","44",".",".","325","38","."
"06059","Orange County, CA","365","196","151","15","3",".",".","157","85","50",".","21","189","152","3"
"06061","Placer County, CA","365","253","87","16","8","1",".","223","84","41",".","17","217","127","4"
"06063","Plumas County, CA","350","219","121","8","2",".",".","159","84","35",".",".",".","350","."
"06065","Riverside County, CA","365","50","175","102","32","6",".","296","153","87",".","1","223","99","42"
"06067","Sacramento County, CA","365","161","169","22","8","4","1","314","100","54",".","1","193","166","5"
"06069","San Benito County, CA","365","294","60","11",".",".",".","143","61","41",".",".","319","45","1"
"06071","San Bernardino County, CA","365","43","168","96","51","7",".","221","164","88",".","15","214","132","4"
"06073","San Diego County, CA","365","73","257","35",".",".",".","143","100","64",".","1","197","167","."
"06075","San Francisco County, CA","365","278","73","2","11","1",".","228","61","37","1","33","119","211","1"
"06077","San Joaquin County, CA","365","152","180","20","10","2","1","308","99","54",".","1","143","216","5"
"06079","San Luis Obispo County, CA","365","202","154","9",".",".",".","133","74","49",".",".","227","101","37"
"06081","San Mateo County, CA","365","295","57","3","10",".",".","185","56","36",".","19","135","211","."
"06083","Santa Barbara County, CA","365","244","119","2",".",".",".","114","64","47",".",".","259","93","13"
"06085","Santa Clara County, CA","365","233","115","6","11",".",".","194","71","44",".","4","166","195","."
"06087","Santa Cruz County, CA","365","331","24","5","5",".",".","170","50","36",".",".","209","156","."
"06089","Shasta County, CA","365","277","67","15","6",".",".","190","82","43",".",".","343","21","1"
"06093","Siskiyou County, CA","365","269","56","16","24",".",".","196","119","41",".",".","239","126","."
"06095","Solano County, CA","365","263","87","3","11","1",".","247","64","42",".","2","179","184","."
"06097","Sonoma County, CA","365","325","27","3","8","2",".","226","52","36",".","2","277","84","2"
"06099","Stanislaus County, CA","365","157","161","32","14","1",".","240","108","54",".","2","196","158","9"
"06101","Sutter County, CA","365","153","177","22","7","5","1","335","100","54",".",".","162","201","2"
"06103","Tehama County, CA","365","226","110","16","13",".",".","190","95","45",".",".","237","128","."
"06105","Trinity County, CA","291","173","99","12","7",".",".","191","79","44",".",".",".","291","."
"06107","Tulare County, CA","365","73","171","95","26",".",".","174","140","77",".",".","231","126","8"
"06109","Tuolumne County, CA","348","254","73","20","1",".",".","154","80","43",".",".","348",".","."
"06111","Ventura County, CA","365","174","174","16","1",".",".","166","87","52",".","2","201","150","12"
"06113","Yolo County, CA","365","260","91","5","7","2",".","235","67","43",".",".","244","121","."
