"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","262","100","3","1",".",".","161","64","41",".","15","177","174","."
"06003","Alpine County, CA","24","18","5","1",".",".",".","111","63","37.5",".",".",".","24","."
"06005","Amador County, CA","363","257","86","19","1",".",".","156","90","40",".",".","363",".","."
"06007","Butte County, CA","366","170","165","23","8",".",".","186","97","53",".",".","223","143","."
"06009","Calaveras County, CA","366","245","108","12","1",".",".","156","87","44",".",".","276","89","1"
"06011","Colusa County, CA","366","191","168","3","3","1",".","202","71","49",".",".","102","262","2"
"06013","Contra Costa County, CA","366","292","70","3","1",".",".","154","65","39",".","13","293","60","."
"06015","Del Norte County, CA","119","119",".",".",".",".",".","45","26","10",".",".",".","84","35"
"06017","El Dorado County, CA","366","212","102","46","6",".",".","177","105","45",".",".","366",".","."
"06019","Fresno County, CA","366","77","155","92","41","1",".","212","151","80",".","1","219","146","."
"06021","Glenn County, CA","366","263","102","1",".",".",".","106","67","43",".",".","259","105","2"
"06023","Humboldt County, CA","366","316","50",".",".",".",".","72","52","35.5",".",".","197","169","."
"06025","Imperial County, CA","366","173","154","34","4","1",".","274","101","51.5","2","57","232","60","15"
"06027","Inyo County, CA","366","204","133","15","4","2","8","3812","93","48",".",".","275","11","80"
"06029","Kern County, CA","366","64","160","92","49","1",".","202","154","84",".",".","217","145","4"
"06031","Kings County, CA","366","117","183","60","6",".",".","172","114","66",".",".","209","137","20"
"06033","Lake County, CA","362","336","23","3",".",".",".","143","47","35",".",".","360","2","."
"06037","Los Angeles County, CA","366","33","203","93","35","2",".","207","151","83",".","19","176","169","2"
"06039","Madera County, CA","366","102","183","70","11",".",".","200","129","64",".",".","205","153","8"
"06041","Marin County, CA","366","319","47",".",".",".",".","81","52","35",".","15","148","203","."
"06043","Mariposa County, CA","366","168","152","44","2",".",".","166","105","54",".",".","302","64","."
"06045","Mendocino County, CA","357","314","43",".",".",".",".","77","52","33",".",".","198","152","7"
"06047","Merced County, CA","366","164","168","33","1",".",".","151","97","53",".",".","235","128","3"
"06051","Mono County, CA","366","326","16","5","5",".","14","3868","54","17",".",".",".","24","342"
"06053","Monterey County, CA","366","332","34",".",".",".",".","84","50","37","1","3","238","99","25"
"06055","Napa County, CA","366","273","93",".",".",".",".","84","62","38","2","7","192","165","."
"06057","Nevada County, CA","366","233","105","26","2",".",".","164","97","42",".",".","350","16","."
"06059","Orange County, CA","366","131","223","12",".",".",".","147","84","55",".","15","110","240","1"
"06061","Placer County, CA","366","191","134","35","6",".",".","166","105","49",".","8","260","98","."
"06063","Plumas County, CA","124","76","40","8",".",".",".","124","91","35.5",".",".",".","124","."
"06065","Riverside County, CA","366","21","178","113","53","1",".","233","156","94",".","1","181","141","43"
"06067","Sacramento County, CA","366","177","132","46","10","1",".","201","119","51.5",".","6","264","95","1"
"06069","San Benito County, CA","366","286","72","8",".",".",".","133","71","41",".",".","341","24","1"
"06071","San Bernardino County, CA","366","50","173","84","51","8",".","207","169","89.5",".","14","227","116","9"
"06073","San Diego County, CA","366","71","259","35","1",".",".","165","100","64",".","12","141","183","30"
"06075","San Francisco County, CA","364","294","68","2",".",".",".","105","60","36","3","60","141","160","."
"06077","San Joaquin County, CA","366","142","182","38","4",".",".","182","101","55.5",".","1","188","173","4"
"06079","San Luis Obispo County, CA","366","166","163","35","2",".",".","154","101","53",".",".","244","96","26"
"06081","San Mateo County, CA","366","300","66",".",".",".",".","98","56","36",".","22","137","207","."
"06083","Santa Barbara County, CA","366","229","134","3",".",".",".","136","65","47",".",".","268","98","."
"06085","Santa Clara County, CA","366","248","112","6",".",".",".","122","67","44.5",".","7","161","198","."
"06087","Santa Cruz County, CA","365","357","7","1",".",".",".","101","44","34",".",".","285","80","."
"06089","Shasta County, CA","366","262","98","5","1",".",".","172","77","44",".",".","356","10","."
"06093","Siskiyou County, CA","362","329","30","1","2",".",".","163","50","37",".",".","345","15","2"
"06095","Solano County, CA","366","264","97","5",".",".",".","140","65","41",".","6","228","132","."
"06097","Sonoma County, CA","366","306","60",".",".",".",".","80","56","37",".","6","202","158","."
"06099","Stanislaus County, CA","366","123","164","67","11","1",".","201","125","62",".",".","199","166","1"
"06101","Sutter County, CA","366","203","146","17",".",".",".","150","84","48",".","9","229","127","1"
"06103","Tehama County, CA","366","209","138","19",".",".",".","150","93","47",".",".","279","87","."
"06105","Trinity County, CA","343","178","130","28","6","1",".","219","101","45",".",".",".","342","1"
"06107","Tulare County, CA","366","91","137","98","40",".",".","195","151","80",".",".","238","127","1"
"06109","Tuolumne County, CA","364","246","105","13",".",".",".","136","87","42",".",".","364",".","."
"06111","Ventura County, CA","366","156","178","31","1",".",".","154","97","54",".",".","240","125","1"
"06113","Yolo County, CA","366","249","109","8",".",".",".","133","74","44",".",".","252","114","."
