"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","189","162","9","4","1",".","205","76","49",".","11","108","246","."
"06005","Amador County, CA","362","291","67","4",".",".",".","136","64","38",".",".","362",".","."
"06007","Butte County, CA","365","152","189","23","1",".",".","154","94","57",".",".","215","148","2"
"06009","Calaveras County, CA","354","169","171","12","2",".",".","172","87","51",".",".","220","133","1"
"06011","Colusa County, CA","365","274","83","7","1",".",".","193","65","40",".",".","197","135","33"
"06013","Contra Costa County, CA","365","222","131","8","4",".",".","169","72","46",".","1","131","233","."
"06015","Del Norte County, CA","298","270","26",".","1","1",".","226","49","20",".",".",".","298","."
"06017","El Dorado County, CA","362","235","96","31",".",".",".","147","100","45",".",".","325","6","31"
"06019","Fresno County, CA","365","102","143","93","26","1",".","207","140","74",".","2","234","116","13"
"06021","Glenn County, CA","365","284","74","7",".",".",".","150","59","43",".",".","201","120","44"
"06023","Humboldt County, CA","365","317","40","5","3",".",".","173","56","35","1",".","257","95","12"
"06025","Imperial County, CA","365","112","211","37","2","2","1","331","104","61",".","2","167","109","87"
"06027","Inyo County, CA","365","204","136","16","3",".","6","2060","87","48",".",".","286","25","54"
"06029","Kern County, CA","365","76","150","115","24",".",".","197","140","84",".",".","250","102","13"
"06031","Kings County, CA","365","96","198","50","21",".",".","181","125","70",".",".","199","123","43"
"06033","Lake County, CA","362","350","10","1","1",".",".","166","44","35",".",".","350","10","2"
"06037","Los Angeles County, CA","365","38","207","74","38","8",".","224","156","77",".","27","167","171","."
"06039","Madera County, CA","365","142","175","42","6",".",".","166","105","58",".","1","238","110","16"
"06041","Marin County, CA","365","290","67","5","3",".",".","161","57","38",".","10","142","213","."
"06043","Mariposa County, CA","365","190","135","31","9",".",".","179","101","49",".",".","253","112","."
"06045","Mendocino County, CA","365","273","84","7","1",".",".","188","66","39",".",".","177","184","4"
"06047","Merced County, CA","364","162","168","31","3",".",".","158","100","54",".",".","209","153","2"
"06051","Mono County, CA","365","303","37","5","1","4","15","3439","63","18",".",".",".","29","336"
"06053","Monterey County, CA","365","304","60","1",".",".",".","121","54","39",".",".","225","78","62"
"06055","Napa County, CA","365","230","121","7","5","2",".","249","67","43","1","1","103","260","."
"06057","Nevada County, CA","365","200","84","62","19",".",".","185","133","49",".",".","353","12","."
"06059","Orange County, CA","365","147","186","30","2",".",".","151","97","54",".","18","197","147","3"
"06061","Placer County, CA","365","247","109","7","2",".",".","156","77","43",".","8","248","106","3"
"06063","Plumas County, CA","351","221","105","17","8",".",".","179","89","35",".",".",".","351","."
"06065","Riverside County, CA","365","52","162","100","43","6","2","366","161","87",".","1","229","95","40"
"06067","Sacramento County, CA","365","158","172","33","2",".",".","164","100","56",".","1","198","161","5"
"06069","San Benito County, CA","365","298","65","2",".",".",".","117","64","40",".",".","331","31","3"
"06071","San Bernardino County, CA","365","31","187","73","51","23",".","233","185","84",".","17","220","112","16"
"06073","San Diego County, CA","365","83","220","56","6",".",".","174","112","65",".","1","238","126","."
"06075","San Francisco County, CA","365","276","82","7",".",".",".","136","63","38",".","41","132","192","."
"06077","San Joaquin County, CA","365","185","147","33",".",".",".","146","100","50",".","3","194","153","15"
"06079","San Luis Obispo County, CA","365","143","214","8",".",".",".","133","80","54",".",".","206","115","44"
"06081","San Mateo County, CA","365","294","64","4","3",".",".","154","58","37",".","15","162","188","."
"06083","Santa Barbara County, CA","365","247","101","6","9","2",".","281","74","44",".",".","249","101","15"
"06085","Santa Clara County, CA","365","240","113","9","3",".",".","182","74","44",".","11","197","157","."
"06087","Santa Cruz County, CA","365","312","49","4",".",".",".","130","56","35",".",".","224","141","."
"06089","Shasta County, CA","365","263","88","12","2",".",".","157","84","44",".",".","353","12","."
"06093","Siskiyou County, CA","225","202","19","3","1",".",".","163","51","26",".",".","138","87","."
"06095","Solano County, CA","365","244","111","5","5",".",".","175","71","44",".","1","194","170","."
"06097","Sonoma County, CA","365","311","49","2","3",".",".","165","55","38",".",".","242","121","2"
"06099","Stanislaus County, CA","365","156","146","55","8",".",".","185","112","58",".","1","225","131","8"
"06101","Sutter County, CA","365","181","175","9",".",".",".","130","82","51",".",".","166","195","4"
"06103","Tehama County, CA","365","262","94","6","3",".",".","167","77","40",".",".","297","68","."
"06105","Trinity County, CA","203","100","92","6","1","2","2","498","90","51",".",".",".","203","."
"06107","Tulare County, CA","365","93","145","96","31",".",".","168","147","80",".","1","232","123","9"
"06109","Tuolumne County, CA","362","231","106","25",".",".",".","143","93","44",".",".","362",".","."
"06111","Ventura County, CA","365","164","168","20","8","3","2","537","100","53",".",".","241","116","8"
"06113","Yolo County, CA","365","265","93","6","1",".",".","153","71","43",".","1","265","98","1"
