"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","245","115","4","1",".",".","179","68","43",".","24","135","206","."
"06005","Amador County, CA","361","302","48","10","1",".",".","151","64","35",".",".","361",".","."
"06007","Butte County, CA","365","208","144","13",".",".",".","126","84","47",".",".","264","101","."
"06009","Calaveras County, CA","365","271","81","12","1",".",".","154","84","41",".",".","309","56","."
"06011","Colusa County, CA","353","322","30","1",".",".",".","119","49","38",".",".","305","43","5"
"06013","Contra Costa County, CA","365","307","49","8","1",".",".","154","64","39",".","9","288","66","2"
"06015","Del Norte County, CA","110","109","1",".",".",".",".","52","25.5","12",".",".",".","69","41"
"06017","El Dorado County, CA","365","251","89","23","2",".",".","192","93","42",".",".","364","1","."
"06019","Fresno County, CA","365","99","179","65","21","1",".","209","130","70",".",".","206","159","."
"06021","Glenn County, CA","365","279","86",".",".",".",".","91","58","42",".",".","240","124","1"
"06023","Humboldt County, CA","365","358","7",".",".",".",".","71","39","29","5","6","316","35","3"
"06025","Imperial County, CA","365","163","151","51",".",".",".","140","108","53","1","50","268","43","3"
"06027","Inyo County, CA","365","248","86","13","1","6","11","4466","93","44",".",".","256","35","74"
"06029","Kern County, CA","365","80","160","85","38","2",".","202","151","79",".",".","218","144","3"
"06031","Kings County, CA","365","66","216","65","15","3",".","208","129","70",".","1","149","213","2"
"06033","Lake County, CA","361","356","5",".",".",".",".","74","44","35",".",".","360","1","."
"06037","Los Angeles County, CA","365","32","219","99","15",".",".","200","138","76",".","38","166","160","1"
"06039","Madera County, CA","364","215","121","18","9","1",".","201","90","46",".","18","269","75","2"
"06041","Marin County, CA","365","270","91","4",".",".",".","128","58","38",".","16","92","257","."
"06043","Mariposa County, CA","365","197","142","23","3",".",".","187","93","49",".",".","305","57","3"
"06045","Mendocino County, CA","361","315","46",".",".",".",".","72","52","34",".",".","70","238","53"
"06047","Merced County, CA","365","149","177","33","6",".",".","177","101","55",".","3","192","167","3"
"06051","Mono County, CA","365","308","35","4","5","1","12","4240","61","18",".",".",".","15","350"
"06053","Monterey County, CA","365","336","29",".",".",".",".","100","48","36",".","3","259","101","2"
"06055","Napa County, CA","365","293","70","1","1",".",".","159","60","39",".","3","177","185","."
"06057","Nevada County, CA","365","251","92","21","1",".",".","154","90","44",".","1","346","18","."
"06059","Orange County, CA","365","118","239","7","1",".",".","177","80","56",".","19","96","250","."
"06061","Placer County, CA","365","186","149","26","4",".",".","200","97","50",".","4","226","135","."
"06063","Plumas County, CA","124","85","36","3",".",".",".","110","75","33",".",".",".","124","."
"06065","Riverside County, CA","365","31","188","95","48","3",".","217","156","87",".","5","187","141","32"
"06067","Sacramento County, CA","365","202","135","20","7","1",".","207","97","49",".","11","230","123","1"
"06069","San Benito County, CA","365","310","48","7",".",".",".","126","58","40",".",".","331","34","."
"06071","San Bernardino County, CA","365","37","193","80","48","7",".","219","164","81",".","9","220","136","."
"06073","San Diego County, CA","365","89","251","21","4",".",".","181","93","61",".","38","167","157","3"
"06075","San Francisco County, CA","365","249","113","3",".",".",".","125","67","40",".","45","91","228","1"
"06077","San Joaquin County, CA","365","225","127","12","1",".",".","174","81","45",".","17","192","156","."
"06079","San Luis Obispo County, CA","365","179","152","33","1",".",".","161","97","51",".",".","250","78","37"
"06081","San Mateo County, CA","362","295","65","2",".",".",".","122","56","35","2","19","161","180","."
"06083","Santa Barbara County, CA","365","281","77","7",".",".",".","143","65","44",".","1","293","69","2"
"06085","Santa Clara County, CA","365","259","94","10","2",".",".","164","66","42",".","17","159","189","."
"06087","Santa Cruz County, CA","365","353","12",".",".",".",".","95","44","34",".",".","232","133","."
"06089","Shasta County, CA","365","279","71","15",".",".",".","119","84","43",".",".","353","12","."
"06093","Siskiyou County, CA","361","352","9",".",".",".",".","90","44","33",".",".","351","9","1"
"06095","Solano County, CA","365","281","80","4",".",".",".","136","64","39",".","14","223","128","."
"06097","Sonoma County, CA","365","317","48",".",".",".",".","93","53","32",".","5","176","182","2"
"06099","Stanislaus County, CA","365","166","161","32","6",".",".","177","102","53",".",".","213","152","."
"06101","Sutter County, CA","365","234","127","3","1",".",".","170","69","44",".","15","161","189","."
"06103","Tehama County, CA","365","186","161","18",".",".",".","136","90","50",".",".","209","155","1"
"06105","Trinity County, CA","122","122",".",".",".",".",".","35","21","9.5",".",".",".","86","36"
"06107","Tulare County, CA","365","100","153","78","34",".",".","197","150","69",".","1","216","148","."
"06109","Tuolumne County, CA","365","274","83","8",".",".",".","147","80","41",".",".","365",".","."
"06111","Ventura County, CA","365","222","125","14","4",".",".","161","87","47",".","11","319","35","."
"06113","Yolo County, CA","362","301","58","3",".",".",".","109","57","38",".","7","272","78","5"
