"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","366","239","112","13","2",".",".","154","74","44",".","9","207","150","."
"06003","Alpine County, CA","24","22","2",".",".",".",".","65","47","22",".",".",".","24","."
"06005","Amador County, CA","366","304","57","5",".",".",".","115","64","37",".",".","366",".","."
"06007","Butte County, CA","366","169","181","16",".",".",".","127","86","52",".",".","193","173","."
"06009","Calaveras County, CA","366","232","112","22",".",".",".","150","87","44",".",".","276","89","1"
"06011","Colusa County, CA","366","272","94",".",".",".",".","91","64","43",".",".","243","103","20"
"06013","Contra Costa County, CA","366","287","76","3",".",".",".","143","59","40",".",".","219","147","."
"06015","Del Norte County, CA","177","172","5",".",".",".",".","65","40","20",".",".",".","177","."
"06017","El Dorado County, CA","366","222","101","31","12",".",".","172","105","45",".",".","365","1","."
"06019","Fresno County, CA","366","92","169","80","25",".",".","190","140","74",".","1","211","139","15"
"06021","Glenn County, CA","362","259","103",".",".",".",".","91","61","43",".",".","196","158","8"
"06023","Humboldt County, CA","366","326","40",".",".",".",".","74","52","35",".","1","221","138","6"
"06025","Imperial County, CA","366","105","216","39","3","1","2","541","105","60",".","2","142","99","123"
"06027","Inyo County, CA","366","244","99","15","4","1","3","426","87","44",".",".","310","18","38"
"06029","Kern County, CA","366","70","180","102","14",".",".","169","136","80",".",".","230","129","7"
"06031","Kings County, CA","366","85","207","71","3",".",".","156","115","70",".",".","182","135","49"
"06033","Lake County, CA","365","358","7",".",".",".",".","74","44","33",".",".","362","2","1"
"06037","Los Angeles County, CA","366","32","230","81","19","4",".","210","134","75",".","32","171","161","2"
"06039","Madera County, CA","366","123","193","47","3",".",".","156","105","59",".",".","212","139","15"
"06041","Marin County, CA","366","339","27",".",".",".",".","90","48","32",".","10","215","141","."
"06043","Mariposa County, CA","366","219","127","19","1",".",".","159","93","46",".",".","268","84","14"
"06045","Mendocino County, CA","364","334","30",".",".",".",".","66","45","33",".",".","181","181","2"
"06047","Merced County, CA","366","158","173","33","2",".",".","151","100","53",".",".","222","142","2"
"06051","Mono County, CA","366","314","19","3","6",".","24","6403","63","17.5",".",".",".","23","343"
"06053","Monterey County, CA","366","325","30","3","8",".",".","176","52","35.5",".",".","248","73","45"
"06055","Napa County, CA","366","296","70",".",".",".",".","90","56","37",".","1","160","204","1"
"06057","Nevada County, CA","366","235","86","40","5",".",".","179","101","44",".",".","358","8","."
"06059","Orange County, CA","366","149","202","13","2",".",".","169","87","54",".","26","167","172","1"
"06061","Placer County, CA","366","241","105","17","3",".",".","166","80","44",".","5","237","124","."
"06063","Plumas County, CA","355","250","94","10","1",".",".","152","73","32",".",".",".","355","."
"06065","Riverside County, CA","366","44","193","86","37","4","2","389","154","82",".",".","204","104","58"
"06067","Sacramento County, CA","366","187","138","34","7",".",".","172","101","49",".","1","220","145","."
"06069","San Benito County, CA","366","305","56","5",".",".",".","126","61","38.5",".",".","351","15","."
"06071","San Bernardino County, CA","366","28","200","78","48","12",".","217","172","82.5",".","32","205","120","9"
"06073","San Diego County, CA","366","69","255","40","2",".",".","164","105","66",".","4","220","142","."
"06075","San Francisco County, CA","366","311","55",".",".",".",".","67","53","36","1","43","151","171","."
"06077","San Joaquin County, CA","366","138","202","25","1",".",".","166","93","55",".","1","140","221","4"
"06079","San Luis Obispo County, CA","366","177","180","8","1",".",".","156","84","51",".",".","247","85","34"
"06081","San Mateo County, CA","366","303","63",".",".",".",".","67","54","37","1","22","117","226","."
"06083","Santa Barbara County, CA","366","261","93","9","2",".","1","315","67","44",".",".","247","82","37"
"06085","Santa Clara County, CA","366","272","93","1",".",".",".","101","61","40",".","14","179","173","."
"06087","Santa Cruz County, CA","366","347","19",".",".",".",".","72","45","32",".",".","245","121","."
"06089","Shasta County, CA","366","298","54","14",".",".",".","140","74","41",".",".","362","4","."
"06093","Siskiyou County, CA","362","356","6",".",".",".",".","93","43","26.5",".",".","340","22","."
"06095","Solano County, CA","366","278","86","2",".",".",".","105","62","40",".","3","204","159","."
"06097","Sonoma County, CA","366","348","18",".",".",".",".","87","44","32",".",".","294","69","3"
"06099","Stanislaus County, CA","366","147","176","40","3",".",".","164","103","55",".",".","196","164","6"
"06101","Sutter County, CA","366","166","168","32",".",".",".","147","97","52.5",".",".","200","166","."
"06103","Tehama County, CA","366","226","98","37","5",".",".","174","108","44",".",".","322","43","1"
"06105","Trinity County, CA","167","116","51",".",".",".",".","96","70","38",".",".",".","167","."
"06107","Tulare County, CA","366","80","162","102","22",".",".","177","145","77",".",".","220","139","7"
"06109","Tuolumne County, CA","354","223","86","38","7",".",".","164","108","44",".",".","354",".","."
"06111","Ventura County, CA","366","173","184","9",".",".",".","147","84","51",".",".","226","133","7"
"06113","Yolo County, CA","366","293","69","4",".",".",".","115","61","40",".","1","272","92","1"
