"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","246","109","10",".",".",".","133","69","43",".","28","152","185","."
"06003","Alpine County, CA","50","47","3",".",".",".",".","80","39","23",".",".",".","50","."
"06005","Amador County, CA","359","263","86","10",".",".",".","133","80","42",".",".","359",".","."
"06007","Butte County, CA","365","173","178","12","2",".",".","155","84","52",".",".","228","137","."
"06009","Calaveras County, CA","361","264","93","4",".",".",".","115","71","44",".",".","273","88","."
"06011","Colusa County, CA","365","243","122",".",".",".",".","99","63","44",".",".","151","213","1"
"06013","Contra Costa County, CA","365","234","126","5",".",".",".","133","67","45",".","1","160","204","."
"06015","Del Norte County, CA","115","112","3",".",".",".",".","55","33","12",".",".",".","115","."
"06017","El Dorado County, CA","365","223","96","43","3",".",".","161","105","45",".",".","355","3","7"
"06019","Fresno County, CA","365","74","167","91","33",".",".","197","148","81",".",".","229","133","3"
"06021","Glenn County, CA","365","289","75","1",".",".",".","105","59","41",".",".","253","98","14"
"06023","Humboldt County, CA","365","220","139","5","1",".",".","164","66","43",".",".","88","271","6"
"06025","Imperial County, CA","365","46","265","45","5","2","2","359","112","67",".","1","103","170","91"
"06027","Inyo County, CA","365","233","117","6","5","1","3","911","83","47",".",".","290","32","43"
"06029","Kern County, CA","365","32","173","117","42",".","1","307","154","97",".",".","227","130","8"
"06031","Kings County, CA","365","85","203","52","25",".",".","172","126","71",".",".","199","118","48"
"06033","Lake County, CA","357","335","22",".",".",".",".","93","48","37",".",".","352","4","1"
"06037","Los Angeles County, CA","365","24","234","79","26","2",".","205","143","80",".","18","171","172","4"
"06039","Madera County, CA","365","95","195","60","15",".",".","179","126","67",".",".","218","136","11"
"06041","Marin County, CA","365","261","103","1",".",".",".","107","61","43",".","6","48","311","."
"06043","Mariposa County, CA","365","195","143","26","1",".",".","153","93","49",".",".","302","59","4"
"06045","Mendocino County, CA","365","292","73",".",".",".",".","95","58","38",".",".","156","208","1"
"06047","Merced County, CA","364","148","158","56","2",".",".","156","113","60",".","2","245","115","2"
"06051","Mono County, CA","365","333","20","1","3","2","6","2514","44","15",".",".",".","30","335"
"06053","Monterey County, CA","365","337","28",".",".",".",".","100","48","37",".",".","250","79","36"
"06055","Napa County, CA","365","214","151",".",".",".",".","88","65","46",".",".","66","299","."
"06057","Nevada County, CA","365","214","117","33","1",".",".","163","100","46",".",".","357","8","."
"06059","Orange County, CA","365","83","261","19","2",".",".","156","87","59",".","16","71","276","2"
"06061","Placer County, CA","365","168","169","23","4","1",".","240","97","52",".","2","239","124","."
"06063","Plumas County, CA","127","72","42","10","3",".",".","156","103","41",".",".",".","127","."
"06065","Riverside County, CA","365","19","190","122","32","1","1","537","150","93",".",".","202","99","64"
"06067","Sacramento County, CA","365","178","147","40",".",".",".","147","105","51",".","2","245","116","2"
"06069","San Benito County, CA","365","299","62","4",".",".",".","115","61","42",".",".","343","20","2"
"06071","San Bernardino County, CA","365","39","199","83","43","1",".","201","159","80",".","16","214","118","17"
"06073","San Diego County, CA","365","89","237","37","2",".",".","165","101","61",".","16","205","130","14"
"06075","San Francisco County, CA","365","309","56",".",".",".",".","97","54","34",".","63","135","167","."
"06077","San Joaquin County, CA","365","159","172","33","1",".",".","152","99","54",".","2","220","138","5"
"06079","San Luis Obispo County, CA","365","138","213","14",".",".",".","126","87","55",".",".","168","188","9"
"06081","San Mateo County, CA","365","319","46",".",".",".",".","99","53","34","1","29","181","154","."
"06083","Santa Barbara County, CA","365","224","135","4","2",".",".","159","64","47",".","1","241","115","8"
"06085","Santa Clara County, CA","365","268","89","7","1",".",".","154","70","41",".","20","200","144","1"
"06087","Santa Cruz County, CA","365","301","52","12",".",".",".","136","66","35",".",".","237","128","."
"06089","Shasta County, CA","365","277","82","6",".",".",".","126","71","43",".",".","354","9","2"
"06093","Siskiyou County, CA","363","332","29",".","2",".",".","159","50","37",".",".","347","14","2"
"06095","Solano County, CA","365","254","108","3",".",".",".","124","67","43",".","1","161","203","."
"06097","Sonoma County, CA","365","314","51",".",".",".",".","81","54","37",".",".","220","143","2"
"06099","Stanislaus County, CA","365","142","164","53","6",".",".","164","114","58",".",".","245","117","3"
"06101","Sutter County, CA","365","182","170","12","1",".",".","156","82","51",".","5","194","165","1"
"06103","Tehama County, CA","364","235","113","15","1",".",".","151","80","44",".",".","329","34","1"
"06105","Trinity County, CA","112","105","7",".",".",".",".","88","33","9",".",".",".","112","."
"06107","Tulare County, CA","365","70","171","97","27",".",".","169","145","84",".",".","218","146","1"
"06109","Tuolumne County, CA","334","214","104","16",".",".",".","133","87","46",".",".","334",".","."
"06111","Ventura County, CA","365","157","193","15",".",".",".","150","87","53",".","1","231","129","4"
"06113","Yolo County, CA","365","288","76","1",".",".",".","101","60","41",".","1","235","128","1"
